Epoch: 124	,Training loss (MRSE): 0.701259	,Validation loss (MRSE): 0.806056	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46197e+07	,Training accuracy (MRAE): 0.218991	,Validation accuracy (MRAE): 0.138613
Epoch: 126	,Training loss (MRSE): 0.702269	,Validation loss (MRSE): 0.806565	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.219068	,Validation accuracy (MRAE): 0.138591
Epoch: 128	,Training loss (MRSE): 0.701468	,Validation loss (MRSE): 0.806162	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46199e+07	,Training accuracy (MRAE): 0.219088	,Validation accuracy (MRAE): 0.138627
Epoch: 130	,Training loss (MRSE): 0.702021	,Validation loss (MRSE): 0.80644	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.21936	,Validation accuracy (MRAE): 0.138682
Epoch: 132	,Training loss (MRSE): 0.701126	,Validation loss (MRSE): 0.805989	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218931	,Validation accuracy (MRAE): 0.138606
Epoch: 134	,Training loss (MRSE): 0.702146	,Validation loss (MRSE): 0.806503	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219227	,Validation accuracy (MRAE): 0.138635
Epoch: 136	,Training loss (MRSE): 0.702122	,Validation loss (MRSE): 0.806491	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.219254	,Validation accuracy (MRAE): 0.138644
Epoch: 138	,Training loss (MRSE): 0.701105	,Validation loss (MRSE): 0.805979	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218922	,Validation accuracy (MRAE): 0.138604
Epoch: 140	,Training loss (MRSE): 0.703414	,Validation loss (MRSE): 0.807137	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46212e+07	,Training accuracy (MRAE): 0.217308	,Validation accuracy (MRAE): 0.138121
Epoch: 142	,Training loss (MRSE): 0.702505	,Validation loss (MRSE): 0.806683	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46206e+07	,Training accuracy (MRAE): 0.218756	,Validation accuracy (MRAE): 0.138512
